D20.18_BRCA-Her2+	D29.14_Nonspecific	D28.6_UCEC	D29.25_Nonspecific	D28.23_TGCT	D28.16_Nonspecific	D29.10_PRAD	D29.22_SKCM	D28.19_LIHC	D29.27_LUAD	D28.11_BRCA-Chr8qAmp	D29.26_STAD+ESCA(Digestive)	D29.13_GBM+LGG	D27.13_BRCA-Luminal	D29.24_BLCA	D29.9_PCPG	D14.8_KIRC+KIRP(Pan-Kidney)	D21.5_COAD+STAD+ESCA(Pan-GI)	D27.24_BRCA-Basal	D21.12_THCA	D16.12_Pan-Squamous	D28.15_ACC	D29.18_NA	D29.1_NA	D20.2_NA
STAD_99312	CESC_47008	CHOL_4376	SKCM_64697	TGCT_47325	GBM_35027	PRAD_89058	SKCM_27149	LIHC_13755	LUAD_66446	CHOL_31443	ESCA_56828	LGG_4962	BRCA_105417	CHOL_39737	PCPG_48249	KIRP_128071	COAD_99721	BRCA_191130	THCA_1408	CESC_15455	TGCT_22872	GBM_14764	CESC_10921	CESC_8871
STAD_99313	BRCA_179997	CHOL_4147	HNSC_57964	TGCT_45847	TGCT_29261	PRAD_1734	SKCM_1055	CHOL_3284	MESO_38304	LIHC_63514	ESCA_82971	LGG_44800	BRCA_59945	STAD_99108	CESC_37372	KIRC_57995	COAD_87657	BRCA_19530	THCA_57859	CESC_14979	ACC_57660	TGCT_15032	CESC_54671	COAD_68822
ESCA_105138	MESO_66281	CHOL_3335	ESCA_77023	TGCT_46483	STAD_47533	PRAD_107515	SKCM_52907	LIHC_106516	LUAD_100886	LUAD_70548	STAD_77737	LGG_24303	BRCA_94853	BLCA_77396	PCPG_71103	KIRC_72039	COAD_13917	MESO_70300	THCA_877	CESC_13949	CHOL_22602	SKCM_21515	CESC_2569	CESC_11969
ESCA_105143	MESO_67065	CHOL_3606	SKCM_64451	TGCT_45621	GBM_34569	PRAD_69722	SKCM_30499	LIHC_94370	LUAD_136870	MESO_36394	ESCA_82629	LGG_62587	BRCA_114864	BLCA_86135	PCPG_13595	THCA_58071	COAD_38699	BRCA_71359	THCA_59836	CESC_13681	ACC_26972	SKCM_18950	CESC_29283	SKCM_20677
BRCA_176033	TGCT_62343	CHOL_3809	STAD_73306	TGCT_45715	GBM_34564	PRAD_75569	SKCM_30867	LIHC_39276	LUAD_100876	CHOL_33044	ESCA_55494	LGG_51344	BRCA_37570	LUSC_106354	PCPG_37473	KIRC_35762	COAD_115606	ACC_6009	THCA_18304	ESCA_57356	ACC_56925	GBM_14644	CESC_358	CESC_15628
STAD_99339	TGCT_61794	CHOL_6595	ESCA_77551	TGCT_53955	TGCT_31082	PRAD_85972	SKCM_50804	LIHC_8314	TGCT_52387	MESO_37168	STAD_77812	LGG_29868	BRCA_100466	BLCA_86697	PCPG_61300	KIRP_127674	STAD_82900	BRCA_30547	THCA_24272	CESC_35800	SKCM_35331	CHOL_14229	TGCT_65762	CESC_16588
ESCA_105094	TGCT_62555	CHOL_3478	STAD_73311	CHOL_43420	LGG_34656	PRAD_56780	SKCM_10313	LIHC_52984	LUAD_31236	TGCT_34992	STAD_77748	LGG_45867	BRCA_102985	CESC_9291	PCPG_65742	KIRC_21292	CHOL_41237	BRCA_192428	THCA_42074	CESC_4821	ACC_23078	GBM_14775	CESC_366	CHOL_33399
BRCA_175821	KIRP_117488	CHOL_3318	ESCA_77216	GBM_49442	TGCT_31626	PRAD_19076	SKCM_6361	LIHC_118036	LUAD_63780	SKCM_53426	ESCA_82461	LGG_15435	PRAD_95587	CHOL_55672	PCPG_35723	CHOL_51520	COAD_85989	SKCM_6933	THCA_86857	CESC_15335	KIRC_29807	LGG_14385	CESC_186	CESC_8457
STAD_99403	MESO_66310	CHOL_3121	PCPG_51811	TGCT_47772	TGCT_30201	PRAD_93116	SKCM_8221	LIHC_15465	LUAD_101575	CHOL_31999	LUAD_91454	LGG_49570	BRCA_156248	CHOL_22720	PCPG_44551	KIRP_88996	COAD_63315	KIRP_49325	THCA_81075	LUSC_29433	MESO_23989	CESC_12435	UCEC_62397	TGCT_19863
STAD_99341	TGCT_61556	CHOL_6784	SKCM_64392	STAD_76200	CESC_23341	PRAD_22212	SKCM_31829	LIHC_7915	LUAD_101797	TGCT_35800	ESCA_82389	LGG_63076	BRCA_38392	CESC_46334	PCPG_6	MESO_25753	COAD_71370	HNSC_80763	THCA_87160	CESC_5654	KIRC_27265	GBM_15053	LUSC_104812	UCEC_66587
ESCA_105086	CESC_46595	CHOL_3798	STAD_73482	TGCT_47717	TGCT_30518	PRAD_924	SKCM_11218	LIHC_52098	LUAD_68641	MESO_38523	ESCA_82936	GBM_28742	BRCA_182954	CESC_44569	PCPG_11121	KIRP_108597	COAD_110350	LGG_5737	THCA_40944	LUSC_27695	CESC_17822	CESC_12654	CESC_15549	CESC_31320
BRCA_175488	KIRP_117749	CHOL_4169	STAD_73216	TGCT_45736	LGG_34567	PRAD_107732	SKCM_22490	LIHC_12614	LUAD_101258	SKCM_51697	ESCA_55606	LGG_50491	BRCA_57475	BLCA_20556	PCPG_21056	CHOL_54082	COAD_63995	UCEC_36981	THCA_12342	CESC_10984	ACC_23476	TGCT_14942	CESC_36742	CESC_543
STAD_99635	TGCT_62623	CHOL_3725	SKCM_64607	TGCT_27961	TGCT_30540	PRAD_23572	SKCM_69209	LIHC_50224	UCEC_8499	CHOL_32800	ESCA_82214	GBM_5014	BRCA_40772	BLCA_85965	PCPG_76433	KIRP_113316	COAD_71371	CESC_13291	THCA_17917	CESC_34473	KIRC_28522	BLCA_81850	BLCA_1044	CESC_3569
STAD_99321	CESC_46606	BRCA_11455	CESC_33494	TGCT_51019	TGCT_29331	PRAD_31695	SKCM_72052	LIHC_81895	LUAD_40699	SKCM_53796	STAD_77724	LGG_71804	BRCA_203080	LUAD_115628	CESC_10564	KIRC_77987	COAD_47774	BRCA_193932	THCA_53198	HNSC_7315	ACC_27682	CESC_12746	STAD_69653	SKCM_95023
ESCA_105079	SKCM_86362	CHOL_5801	SKCM_64767	GBM_49474	CESC_23380	PRAD_51677	SKCM_11033	LIHC_100046	LUAD_83727	CHOL_31345	ESCA_55700	LGG_23310	BRCA_104114	LUSC_106355	PCPG_40805	KIRC_92445	STAD_46446	PRAD_12202	THCA_931	LUSC_30113	TGCT_22721	GBM_15307	CESC_376	CESC_27735
STAD_99393	TGCT_62537	CESC_4923	STAD_73640	TGCT_48593	TGCT_30168	PRAD_3899	SKCM_51634	LIHC_7636	THCA_66346	SKCM_53730	ESCA_56829	LGG_71437	BRCA_85046	BLCA_101553	PCPG_55144	KIRP_29267	COAD_30297	BRCA_103850	THCA_54340	LUSC_30700	ACC_84866	CESC_12774	TGCT_70917	CESC_43834
STAD_99308	BRCA_182065	CHOL_4285	STAD_73270	TGCT_45794	GBM_36010	PRAD_54975	SKCM_87395	LIHC_60173	CESC_19324	SKCM_51331	ESCA_56839	LGG_35347	STAD_99919	BLCA_86168	PCPG_47865	KIRP_114621	COAD_19335	MESO_37151	THCA_34867	LUSC_29110	ACC_25051	TGCT_14529	CESC_2549	ACC_14558
STAD_99305	KIRP_119903	CHOL_3419	LGG_50126	TGCT_47384	TGCT_32166	PRAD_67712	SKCM_8528	LIHC_84665	COAD_64832	BRCA_102017	ESCA_82633	LGG_1518	BRCA_35555	BLCA_67347	PCPG_9230	THCA_74696	COAD_72760	BRCA_191054	THCA_15790	ESCA_65060	ACC_27154	GBM_14897	CESC_2606	CESC_11794
ESCA_105099	LGG_69290	CHOL_3852	HNSC_58478	TGCT_47466	GBM_34568	PRAD_25435	SKCM_44077	LIHC_71943	LUAD_18411	SKCM_53801	STAD_77762	LGG_57900	BRCA_95067	BLCA_69177	PCPG_40370	SKCM_53349	TGCT_31392	BRCA_71930	THCA_29348	CESC_14450	KIRC_30022	GBM_14632	PCPG_63314	CESC_32085
ESCA_105098	BRCA_180606	CESC_5313	ESCA_77554	TGCT_30433	TGCT_30397	PRAD_66008	SKCM_42813	LIHC_8306	LUAD_131342	MESO_38554	ESCA_55583	LGG_13039	BRCA_95136	BLCA_94730	PCPG_21798	KIRC_80482	COAD_102872	BRCA_98396	THCA_18361	LUSC_10818	SKCM_34626	BLCA_81253	TGCT_57149	PCPG_50024
STAD_99528	LGG_68063	CHOL_3364	SKCM_64850	LUSC_77188	STAD_47763	PRAD_891	LGG_8616	LIHC_9915	LUAD_65495	CHOL_31519	STAD_77799	GBM_30148	BRCA_124577	BLCA_6407	PCPG_33830	KIRP_111320	COAD_9607	COAD_114305	THCA_6917	CESC_12392	TGCT_22844	BLCA_11329	CESC_54885	CESC_27143
STAD_99392	TGCT_61897	CHOL_7018	STAD_73666	TGCT_27748	STAD_47565	PRAD_18796	SKCM_99670	LIHC_77188	LUAD_57137	MESO_38497	ESCA_55772	LGG_79404	BRCA_103643	BLCA_77543	PCPG_56687	KIRP_25003	STAD_46389	MESO_74674	THCA_12870	HNSC_19994	CHOL_20911	ACC_13863	MESO_88	TGCT_12059
STAD_99652	TGCT_62651	CHOL_3950	STAD_73321	TGCT_46039	GBM_31203	PRAD_16907	SKCM_36384	LIHC_84200	UCEC_48531	CESC_26278	ESCA_55760	GBM_4571	BRCA_143903	COAD_105818	PCPG_33811	KIRP_114410	COAD_19723	GBM_7863	LUAD_102249	CESC_5354	ACC_22907	BLCA_80729	LGG_59927	TGCT_11903
BRCA_175418	PRAD_94847	CHOL_3898	ESCA_77011	TGCT_45140	UCEC_48838	PRAD_89370	SKCM_8351	LIHC_63338	CESC_38939	BRCA_101384	CHOL_30422	LGG_60252	BRCA_17623	BLCA_90545	PCPG_80672	KIRP_95336	COAD_86587	BRCA_71770	THCA_78533	CESC_25712	MESO_25733	TGCT_13658	CESC_1754	PCPG_62844
BRCA_175850	TGCT_62687	TGCT_5824	ESCA_77008	TGCT_1611	TGCT_29312	PRAD_78068	SKCM_69194	LIHC_109512	CESC_9461	CHOL_33088	CESC_35309	LGG_64579	THCA_8074	BLCA_20685	PCPG_81498	KIRC_53278	CHOL_35477	BRCA_75471	THCA_16626	CESC_54391	SKCM_34764	SKCM_19078	CESC_10792	TGCT_9407
STAD_99391	PCPG_74178	CHOL_3262	STAD_73189	TGCT_40177	KIRP_61266	PRAD_2749	SKCM_48753	BLCA_33113	LUAD_75030	CHOL_33015	ESCA_82632	LGG_25535	BRCA_19426	BLCA_19205	PCPG_33336	KIRC_19795	COAD_38975	BRCA_115072	THCA_87322	CESC_3331	KIRC_27091	BLCA_19162	CESC_3470	CHOL_18457
STAD_99271	CESC_47357	CHOL_3710	STAD_73462	TGCT_47766	MESO_32910	PRAD_97840	SKCM_98407	LIHC_7300	LUAD_101141	LGG_39216	ESCA_55681	GBM_48479	BRCA_159473	CESC_47445	PCPG_13422	KIRP_117485	COAD_20920	BRCA_190680	THCA_67683	CESC_13798	ACC_22821	CHOL_13931	PCPG_74	PRAD_97722
STAD_99310	MESO_66972	CHOL_4327	STAD_73215	TGCT_45090	MESO_32339	PRAD_97345	SKCM_99668	LIHC_15933	THCA_2436	STAD_57047	ESCA_55743	LGG_40448	BRCA_50251	BLCA_97816	PCPG_57102	CESC_2495	STAD_79750	LIHC_11078	THCA_13335	LUSC_26674	KIRC_29696	CHOL_14400	MESO_1258	ACC_18497
ESCA_105196	TGCT_61729	CHOL_4080	SKCM_64676	TGCT_46578	KIRP_62667	PRAD_107739	SKCM_88026	LIHC_114701	LUAD_40345	MESO_36316	ESCA_55689	LGG_44755	LUAD_68380	BLCA_89420	TGCT_58450	KIRC_52517	UCEC_70203	CHOL_61134	THCA_76733	LUSC_9331	CESC_18628	TGCT_14137	CESC_44558	CESC_8249
BRCA_175818	BRCA_180446	CHOL_6848	STAD_73200	TGCT_46601	TGCT_32199	PRAD_58037	SKCM_1322	LIHC_17580	LUAD_101514	SKCM_51251	ESCA_55822	LGG_40934	SKCM_94379	BLCA_89743	PCPG_13846	KIRC_26391	CESC_37895	BRCA_71835	THCA_73356	HNSC_9329	ACC_27213	LGG_16570	TGCT_70806	LUSC_15151
STAD_99327	BRCA_181588	CHOL_3176	STAD_73630	GBM_49062	LGG_34575	PRAD_107995	SKCM_1559	LIHC_116689	UCEC_9403	CHOL_32046	ESCA_55533	LGG_63742	BRCA_202441	BLCA_86627	PCPG_77870	GBM_45016	COAD_86258	BRCA_75570	THCA_45330	CESC_39432	CESC_18942	TGCT_14838	TGCT_9956	CESC_31575
ESCA_105093	TGCT_63145	CHOL_3352	ESCA_77593	GBM_49676	ESCA_52449	PRAD_37110	SKCM_26813	GBM_6177	LUAD_101153	CHOL_32877	ESCA_55534	LGG_63238	PRAD_109123	BLCA_103259	PCPG_57429	CESC_43455	COAD_22176	SKCM_9597	THCA_58908	LUSC_29561	KIRC_25794	BRCA_83547	CESC_29375	CESC_33943
BRCA_175419	TGCT_62558	CHOL_4610	STAD_74287	ACC_55705	TGCT_31360	PRAD_68772	SKCM_49549	LIHC_43468	LUAD_101559	CHOL_32766	LUAD_91436	LGG_58243	BRCA_3680	BLCA_7278	PCPG_21799	GBM_30719	CHOL_34769	BRCA_20547	THCA_3036	CESC_5649	MESO_23362	BLCA_41633	CHOL_39562	CESC_36577
ESCA_105226	TGCT_63206	CHOL_6235	STAD_74060	TGCT_47771	UCEC_43466	PRAD_66926	SKCM_30532	LIHC_84775	LUAD_66952	CHOL_32961	STAD_77721	LGG_43144	BRCA_123251	CESC_4821	PCPG_69565	KIRP_95298	COAD_17282	BRCA_108173	THCA_60140	CESC_44802	MESO_23840	BLCA_41357	CESC_29062	CHOL_34966
STAD_99325	TGCT_61414	TGCT_7285	ESCA_77944	TGCT_46239	TGCT_29008	PRAD_85941	SKCM_77165	LIHC_38640	UCEC_13629	SKCM_50624	ESCA_55790	LGG_72844	BRCA_164540	MESO_65549	PCPG_52004	KIRC_90932	COAD_44956	CHOL_4562	THCA_84927	LUSC_28473	KIRC_29259	GBM_17436	CESC_1185	CESC_8282
